Code/Commune,Department,Region
Castelnau,Hérault,Occitanie
Leognan,Gironde,Nouvelle-Aquitaine
Morillon,Haute-Savoie,Auvergne-Rhône-Alpes
FRANCE (Pomerol),Gironde,Nouvelle-Aquitaine
FRANCE (33 ARCINS),Gironde,Nouvelle-Aquitaine
FRANCE (33 CANTENAC),Gironde,Nouvelle-Aquitaine
FRANCE (33 LISTRAC MEDOC),Gironde,Nouvelle-Aquitaine
32700,Gers,Occitanie
86320,Vienne,Nouvelle-Aquitaine
28700,Eure-et-Loir,Centre-Val de Loire
29610,Finistère,Brittany
27910,Eure,Normandy
35440,Ille-et-Vilaine,Brittany
71110,Saône-et-Loire,Bourgogne-Franche-Comté
7340,Ardèche,Auvergne-Rhône-Alpes
76590,Seine-Maritime,Normandy
5110,Hautes-Alpes/Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur
44440,Loire-Atlantique,Pays de la Loire
Maintenon,Eure-et-Loir,Centre-Val de Loire
Pierres,Eure-et-Loir,Centre-Val de Loire
76300,Seine-Maritime,Normandy
Paris,Paris,Île-de-France
Villepinte,Seine-Saint-Denis,Île-de-France
Rueil-Malmaison,Hauts-de-Seine,Île-de-France
Romainville,Seine-Saint-Denis,Île-de-France
Villiers-le-Bel,Val-d'Oise,Île-de-France
Boulogne-Billancourt,Hauts-de-Seine,Île-de-France
Emerainville,Seine-et-Marne,Île-de-France
Bagneux,Hauts-de-Seine,Île-de-France
Ivry-sur-Seine,Val-de-Marne,Île-de-France
Ile d´Yeu,Vendée,Pays de la Loire
Grande-Synthe,Nord,Hauts-de-France
